Cell data file for inSALMO,Dog Gulch site,,,
"From J. White, 8/19/2013",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0.151,9.913,0.807,I
2,0,16.906,0.234,I
3,0,19.955,0.987,D
4,0,9.319,0.962,D
5,0.349,2.399,0.461,I
6,0.244,0.693,0,I
7,0,4.426,0.768,I
8,0.559,4.587,0.308,I
9,0,15.861,0.554,I
10,0,9.863,0.024,I
11,0.023,1.243,0.629,I
12,0.58,3.185,0.979,I
13,0.324,6.858,0.663,I
14,0,13.779,0.607,I
15,0,12.051,0.022,I
16,0.064,10.263,0.003,I
17,0,8.309,0,I
18,0.37,0.885,0,I
19,0,0.503,0,I
20,0.508,4.428,0,I
21,0.104,2.921,0,I
22,0.058,0.857,0.064,I
23,0.627,1.165,0.124,I
24,0,1.509,0.008,I
25,0.177,4.816,0.476,I
26,0.554,3.91,0.723,I
27,0.109,3.502,0.795,I
28,0.046,4.717,0.522,I
29,0,8.182,0.045,I
30,0.099,9.223,0.219,I
31,0.219,2.554,0.696,I
32,0.103,1.997,0.407,I
33,0.592,3.589,0.39,I
34,0.113,10.396,0.362,I
35,0,10.813,0.051,I
36,0.069,11.384,0,I
37,0.14,2.377,0.083,I
38,0.373,0.695,0.038,I
39,0.169,4.524,0.516,I
40,0.338,2.121,0.418,I
41,0.307,0.636,0,I
42,0.933,1.336,0.036,I
43,0.445,1.65,0,I
44,0.595,1.813,0.197,I
45,0.965,6.81,0.532,I
46,0.273,4.071,0.089,I
47,0.815,3.176,0.456,I
48,0.837,4.776,0.089,I
49,0.443,6.593,0,I
50,0.076,0.623,0,I
51,0.136,1.027,0,I
52,0.219,4.384,0.119,I
53,0.291,1.02,0,I
54,0.123,1.028,0,I
55,0,3.384,0,I
56,0.05,3.196,0,I
57,0.096,6.823,0.068,I
58,0,6.862,0.331,I
59,0.17,0.6,0.124,I
60,0.518,0.826,0.925,I
61,0.122,0.672,1,I
62,0.345,2.735,0.933,I
63,0.258,3.913,0.876,I
64,0.316,6.162,0.47,I
65,0,3.865,0.994,I
66,0.518,0.906,0.972,I
67,0,1.032,0.215,I
68,0.358,1.928,0.272,I
69,0.293,0.81,0.304,I
70,0.028,4.206,0.555,I
71,0,11.112,0,I
72,0,2.245,0.981,I
73,0.118,5.285,0.094,I
74,0,12.582,0,I
75,0,7.68,0,I
76,0.224,4.75,0,I
77,0.383,2.605,0.307,I
78,0,14.719,0,I
79,0,6.4,0.456,I
80,0.541,10.393,0,I
81,0,10.742,0,I
82,1,6.007,0.559,I
83,0.27,2.051,0.999,I
84,0.73,4.406,0.858,I
85,0.746,8.508,0.345,I
86,0,9.697,0.58,I
87,0,7.861,0.358,I
88,0.364,2.784,0.058,I
89,0.484,1.575,1,I
90,0.072,0.771,0.767,I
91,0.08,13.108,0,I
92,0,14.894,0.014,I
93,0,14.715,0,I
94,0,17.844,0,I
95,0,13.458,0,I
96,0.126,0.799,0.404,I
97,0.932,1.714,0.199,I
98,0.44,1.695,0.338,I
99,0.321,1.336,0.408,I
100,0,8.857,0,I
101,0.79,6.435,0.114,I
102,0.185,5.663,0,I
103,0.997,3.752,0,I
104,0.204,4.696,0,I
105,0.318,1.038,0,I
106,1,0.877,0,I
107,0.819,1.471,0,I
108,0,10.114,0.032,I
109,0.375,0.812,0.999,I
110,0.734,1.218,0.999,I
111,1,0.956,1,I
112,1,1.154,0.999,I
113,0.891,2.665,1,I
114,1,3.813,1,I
115,0.823,1.471,0.998,I
116,0.405,4.523,1,I
117,0,5.215,0.508,I
118,0.313,5.07,0,I
119,0,11.724,0,I
120,0,13.277,0.238,I
121,0,5.149,0,I
122,0.594,7.282,0,I
123,0,1.153,0,I
124,0.76,3.081,0.361,I
125,1,1.06,0.412,I
126,0.252,0.492,0.024,I
127,0.079,0.665,0.139,I
128,0.787,0.863,0.263,I
129,0,1.961,1,I
130,0,13.961,0.011,I
131,0,11.894,0.394,I
132,0,6.363,0.999,I
133,0.155,3.797,0.055,I
134,0,9.47,0.159,I
135,0.528,7.043,0.377,I
136,0.703,2.668,0.753,I
137,0,4.101,0.05,I
138,0,12.387,0.192,I
139,0,8.804,0.082,I
140,0,5.055,0.66,I
141,0.398,3.258,0.999,I
142,0,3.681,0.943,I
143,0.955,0.481,0.904,I
144,0.859,1.638,1,I
145,1,4.108,1,I
146,0,1.131,1,I
147,0.467,3.983,0.999,I
148,0.082,2.811,1,I
149,0.118,0.855,0.999,I
150,0.859,0.75,0.997,I
151,0,3.071,0.075,I
152,1,3.387,0,I
153,0.706,0.99,0.598,I
154,1,1.167,0.578,I
155,0,6.223,0.118,I
156,0.313,4.206,0.072,I
157,0.181,1.777,0.861,I
158,0.088,1.119,0.825,I
159,0,3.678,0.999,I
160,0.954,1.501,0.909,I
161,0.557,4.359,0.691,I
162,0.268,2.236,0.222,I
163,0,13.18,0,I
164,0.041,9.593,0,I
165,0.084,9.028,0,I
166,0.033,4.19,0,I
167,0.197,5.026,0,I
168,0.752,0.75,0.363,I
169,0.881,1.183,0.09,I
170,0.458,1.136,0.699,I
171,0.239,1.297,0.396,I
172,0.086,5.778,0.038,I
173,1,0.862,0.999,I
174,0.202,0.826,0.868,I
175,0.029,10.617,0,I
176,0.157,9.962,0,I
177,0.878,8.532,0,I
178,0.013,9.252,0,I
179,0,4.525,0,I
180,0,9.717,0,I
181,0.247,10.625,0,I
182,0,2.919,0.787,I
183,0.908,3.542,0.859,I
184,0.812,5.844,0.962,I
185,0.37,8.379,0.375,I
186,0,9,0,I
187,0.107,7.162,0.041,I
188,0,9.521,0,I
189,0.48,2.236,0.044,I
190,0.138,1.54,0.208,I
191,0.399,5.34,0,I
192,0.125,1.37,0.168,I
193,0.595,1.593,0.062,I
194,0.244,1.566,0.247,I
195,0.136,1.887,0,I
196,0.225,5.486,0.001,I
197,0.12,11.496,0.681,I
198,0.142,5.323,0.915,I
199,0.789,10.426,0.453,I
200,0.83,1.485,0.999,I
201,0.087,0.973,1,I
202,0.525,4.165,0.847,I
203,0.678,1.652,0.32,I
204,0.121,0.772,0.512,I
205,1,1.023,0.027,I
206,0.302,1.009,0,I
207,0.151,4.54,0.602,I
208,0.71,2.946,0,I
209,0.163,4.791,0.436,I
210,0.069,8.974,0.89,I
211,0.337,1.249,0.999,I
212,0.1,7.63,0.429,I
213,0,5.638,1,I
214,0,8.455,0.999,I
215,0,3.716,1,I
216,0.161,4.904,0.055,I
217,0.343,1.152,0,I
218,0.25,1.643,0.171,I
219,0.319,1.195,0.886,I
220,0.138,6.712,0.337,I
221,0.024,11.99,0.641,I
222,0.102,7.4,0.365,I
223,0.124,1.353,0.507,I
224,0.39,1.037,0.289,I
225,0.704,2.206,0.659,I
226,0.289,1.408,0.224,I
227,0.572,3.532,0.295,I
228,0.426,1.589,0,I
229,0.4,0.39,0,I
230,0.304,0.673,0.008,I
231,0,4.811,0.808,I
232,0.158,6.575,0.908,I
233,0.267,2.079,0.749,I
234,0.147,0.866,0.939,I
235,0.013,9.458,0.798,I
236,0.005,14.959,0.4,I
237,0.015,17.104,0.78,I
238,0,18.902,1,I
239,0,8.503,0.957,I
240,0.17,1.8,0.421,I
241,0,9.882,0.993,I
242,0,5.14,1,I
243,0.264,1.383,0.454,I
244,0.045,11.12,0.91,I
245,0.808,24.724,1,I
246,0.165,32.716,0.929,I
247,0,20.279,0.001,I
248,0.051,17.582,0.198,I
249,0.093,29.974,0.947,I
250,0.299,3.205,0,I
251,0.374,5.49,0.864,I
252,0,4.739,0.835,I
253,0.127,4.858,0.909,I
254,0.035,1.581,0.543,I
255,0.436,3.874,0.115,I
256,1,1.231,0.926,I
257,0.755,1.79,0.403,I
258,1,3.075,0.092,I
259,0,0.825,0.724,I
260,0.261,1.617,0.784,I
261,0.666,1.086,0.696,I
262,0.138,1.438,0.222,I
263,0.628,3.545,0,I
264,0.029,7.933,0.081,I
265,0.214,1.625,0.044,I
266,1,1.123,0,I
267,0.261,1.607,0,I
268,0,0.557,0,I
269,0.871,1.397,0.366,I
270,0.269,0.567,0.026,I
271,0,23.388,0.794,I
272,0,17.948,0.909,I
273,0.06,6.534,0.648,I
274,0.326,3.288,0.418,I
275,0.943,6.503,0.999,I
276,0,0.946,0.717,I
277,1,1.607,0.634,I
278,0.95,6.033,0.992,I
279,0.109,9.293,0.999,I
280,0.13,1.968,0.198,I
281,0.169,9.447,1,I
282,0.289,5.248,0.951,I
283,0.615,1.335,0,I
284,1,1.629,0.022,I
285,1,0.868,0,I
286,0,0.94,0,I
287,0.274,2.277,0.484,I
288,0.23,2.397,0.554,I
289,0.938,1.198,0.95,I
290,1,4.381,0.031,I
291,0.78,1.307,0.985,I
292,0.667,6.127,0.8,I
293,0,8.494,1,I
294,0,3.728,0.922,I
295,0.059,11.115,0.999,I
296,0,16.699,0.999,I
297,0,23.582,0.999,I
298,0.01,27.478,1,I
299,0,39.849,0.999,I
300,0.653,38.105,1,I
301,1,35.708,0.999,I
302,0,24.696,0.999,I
303,0.285,3.415,0.699,I
304,0,20.519,0.999,I
305,0.603,28.429,0.999,I
306,0.01,12.858,0.888,I
307,0.057,12.608,0.995,I
308,0.21,1.274,0.663,I
309,0.312,12.568,1,I
310,0.016,5.732,0.884,I
311,0,14.873,0.996,I
312,0.122,21.642,0.994,I
313,0.139,30.337,0.999,I
314,0,25.531,0.997,I
315,0,22.066,1,I
316,0,30.814,0.999,I
317,0,20.956,0.999,I
318,0,17.525,1,I
319,0,22.996,0.966,U
320,0,12.735,0.999,I
321,0,14.257,1,I
322,0,9.025,1,I
323,0.025,5.256,0.733,I
324,1,2.592,0.006,I
325,0.087,1.03,0.057,I
326,0.097,0.799,0,I
327,0,1.945,0.656,I
328,1,1.05,0.165,I
329,0.288,0.991,0,I
330,0.097,0.721,0.232,I
331,0.408,2.903,0.823,I
332,0.268,1.061,0.78,I
333,0.296,0.684,0.143,I
334,0.135,1.336,0.038,I
335,0,4.747,0.73,I
336,0,4.549,0.918,U
337,0,0.929,0.444,I
338,0.68,0.608,0.008,I
339,0.806,4.737,0.311,I
340,0.494,3.725,0.833,I
341,0.363,3.315,0.516,I
342,0.073,1.924,0.279,I
343,0.08,0.885,0.61,I
344,0.113,1.329,0.052,I
345,0.426,2.377,0.353,I
346,0.817,1.178,0.027,I
347,0.427,0.934,0.066,I
348,0,2.283,0.916,I
349,0.095,2.05,0,I
350,0.305,2.33,0.081,I
351,0,3.63,0,I
352,0,3.961,0.038,I
353,0,1.037,0.19,I
354,0,4.332,0.833,I
355,0,2.137,0.832,I
356,0,2.024,0.954,I
357,0.095,2.44,0.984,I
358,0,1.527,0.736,I
359,0,6.104,0.132,I
360,0,4.821,0.002,I
361,0,1.907,0.041,I
362,0,0.929,0.054,I
363,0,1.038,0.439,I
364,0,1.075,0.852,I
365,0.225,3.123,0.001,I
366,1,4.67,0.213,I
367,0.841,0.601,0.316,I
368,0,1.295,0,I
369,0.811,1.008,0.149,I
370,1,0.958,0.458,I
371,1,0.955,0,I
372,0.238,1.992,0.006,I
373,0.725,0.734,0.097,I
374,1,1.497,0.352,I
375,0.045,2.086,0.002,I
376,0,0.658,0.39,I
377,0.491,0.649,0.009,I
378,0.408,1.105,0.006,I
379,0.604,1.34,0,I
380,0.274,1.148,0.12,I
381,1,1.05,0,I
382,0,1.594,0,I
383,0.969,1.402,0.034,I
384,0.406,3.931,0,I
385,0,1.97,0,I
386,0.273,4.276,0,I
387,1,2.914,0,I
388,0.26,3.68,0,I
389,0,0.608,0,I
390,0.086,1.243,0,I
391,0.717,2.621,0.104,I
392,0.468,1.635,0.441,I
393,0.262,0.871,0.651,I
394,0.62,1.047,0.683,I
395,0.156,1.416,0.496,I
396,0.842,1.863,0,I
397,0.214,1.062,0.221,I
398,0.66,3.215,0.043,I
399,0.006,0.993,0,I
400,1,3.015,0.281,I
401,1,0.953,0.095,I
402,0,3.685,0.032,I
403,0.501,1.082,0.203,I
404,0,1.393,0,I
405,0.757,1.107,0,I
406,0.307,1.89,0.199,I
407,1,1.192,0,I
408,0.258,1.594,0,I
409,1,1.678,0.332,I
410,0.356,1.485,0.182,I
411,0.827,1.406,0,I
412,0.405,2.159,0,I
413,0.94,1.691,0,I
414,0.336,2.023,0,I
415,0.493,2.111,0,I
416,0,1.78,0,I
417,1,0.768,0,I
418,0,0.834,0,I
419,0,1.61,0.358,I
420,0.173,1.237,0,I
421,0.994,1.011,0,I
422,0,1.179,0,I
423,0.38,1.272,0.076,I
424,0.146,1.452,0,I
425,0.797,1.715,0.123,I
426,0.036,1.567,0.301,I
427,0.093,1.575,0,I
428,0.153,1.224,0,I
429,0,1.008,0,I
430,0.404,1.127,0,I
431,0.028,1.508,0,I
432,0,1.341,0,I
433,0.506,1.945,0,I
434,0.309,1.703,0,I
435,0.24,1.121,0.044,I
436,0.203,1.649,0,I
437,0.741,1.809,0,I
438,0,2.441,0,I
439,0,1.667,0,I
440,0,1.657,0,I
441,0.048,0.948,0.071,I
442,0.397,1.409,0,I
443,0.059,1.399,0.417,I
444,0,0.756,1,I
445,0.3,0.991,0,I
446,0.488,1.041,0.807,I
447,0.386,0.92,1,I
448,0.39,0.8,0.907,I
449,0.915,0.552,0.999,I
450,0,0.753,0.999,I
451,0.27,0.59,0.999,I
452,0.327,0.486,0.999,I
453,1,1.398,1,I
454,0,1.143,1,I
455,0,1.436,0.999,I
456,0.327,0.77,0.999,I
457,0,1.194,0.999,I
458,0,1.438,0.329,I
459,0,1.21,0.037,I
460,0.804,0.72,0,I
461,0.066,0.775,0,I
462,1,1.939,0.733,I
463,1,2.778,0.508,I
464,0.227,0.926,0.1,I
465,1,1.455,0.786,I
466,0,1.007,0.249,I
467,0.382,1.012,1,I
468,0.797,0.966,0.999,I
469,0.201,0.642,1,I
470,0,0.908,0.998,I
471,0.153,0.52,0.999,I
472,0.695,0.598,0.999,I
473,0,1.339,0.953,I
474,0,1.583,0.567,I
475,0.341,1.286,0.594,I
476,0.155,0.885,0.965,I
477,0.619,0.989,1,I
478,0.638,1.106,0.722,I
479,0.369,1.742,0.629,I
480,0.262,1.381,0.953,I
481,0.692,1.332,0.935,I
482,0,1.367,0.503,I
483,0.369,1.347,0.022,I
484,0.698,0.788,0.948,I
485,0.615,0.893,0,I
486,0.115,1.342,0.709,I
487,0,3.788,0.505,I
488,0.436,1.146,0.488,I
489,0,3.993,0.044,I
490,0.331,0.93,0.124,I
491,0.399,1.288,0.134,I
492,0,1.045,0.003,I
493,0.961,0.935,0,I
494,0.135,1.333,0,I
495,1,1.071,0.095,I
496,0,1.629,0.021,I
497,1,1.05,0.184,I
498,0.25,1.133,0.013,I
499,0,1.069,0.013,I
500,0,1.528,0.367,I
