Cell data for example small site,,,,
Converted to inSTREAM V. 5 format,,,SFR 9 Dec 2011,
CellNum,FracShelt,DistToHid,FractSpawn,ReachEndCode
101,0,0,0,I
102,0,2.5,0,I
103,0.5,0.6,0,D
104,0.2,0.4,0,D
105,0.3,0.5,0,D
106,0.2,1.5,0.2,D
107,0.5,0.3,0.05,I
108,0.6,0.3,0,I
109,0.6,0.3,0,I
201,0,0,0,I
202,0.1,5,0,I
203,0.3,3,0,I
204,0.3,2,0,I
205,0.3,2,0,I
206,0.1,1.5,0,I
207,0.7,0.3,0,I
208,0.7,0.3,0,I
209,0.9,0.2,0,I
210,0.9,0.2,0,I
301,0,0,0,I
302,0.3,5,0,I
303,0.2,4,0,I
304,0.2,5,0.05,I
305,0.3,5,0,I
306,0.1,4,0,I
307,0.3,2,0.1,I
308,0.5,0.2,0.05,I
309,0.7,0.5,0,I
310,0.7,0.5,0,I
401,0,0,0,I
402,0.6,5,0,I
403,0.4,5,0,I
404,0.2,3,0.3,I
405,0.2,4,0.3,I
406,0.4,4,0.5,I
407,0.6,2,0.3,I
408,0.4,0.2,0,I
409,0.4,0.2,0,I
501,0,0,0,I
502,0.1,2,0,I
503,0.5,0.3,0,I
504,1,0,0,I
505,0.2,1.5,0,I
506,0.3,3,0,I
507,0,2.5,0,I
508,0.2,1,0,I
509,0.1,0.3,0.5,I
510,0.1,0.3,0,I
601,0,0,0,I
602,0.2,3,0,I
603,0.2,1.7,0,I
604,0.1,1.7,0,I
605,0.05,4,0,I
606,0.05,6,0,I
607,0.05,9,0.05,I
608,0.1,10,0.4,I
609,0.1,10,0,I
701,0,0,0,I
702,0.2,1,0,I
703,0.4,2.5,0,I
704,0.5,1,0,I
705,0.2,2,0.05,I
706,0.1,4.5,0.05,I
707,0.1,6.5,0.2,I
708,0.2,2,0.2,I
709,0.3,1.5,0.05,I
710,0.3,1.5,0,I
801,0,0,0,I
802,0.7,1,0,I
803,1,0.1,0,I
804,1,0.1,0,I
805,0.7,0.3,0,I
806,0.1,2,0,I
807,0.1,3,0,I
808,0.1,4.5,0.05,I
809,0,6.5,0.1,I
810,0.1,3.5,0.3,I
811,0.1,3.5,0,I
901,0,0,0,I
902,0.3,1.5,0,I
903,0.2,0.8,0,I
904,0.4,0.8,0,I
905,0.1,2,0,I
906,0,4,0,I
907,0.1,6,0,I
908,0.1,8,0,I
909,0.1,8,0.3,I
910,0.2,1.5,0.3,I
911,0.2,1.5,0,I
1001,0,0,0,I
1002,0.5,1,0,I
1003,0.3,3,0,I
1004,0.2,4,0,I
1005,0.2,5.5,0,I
1006,0.1,7,0.05,I
1007,0.05,9,0.3,I
1008,0,10,0.3,I
1009,0.2,6,0.2,I
1010,0.2,6,0,I
1101,0,0,0,I
1102,0.1,1,0,I
1103,0.2,0,0.05,I
1104,0.3,1,0.05,I
1105,0.1,2,0.2,I
1106,0,2.5,0.2,I
1107,0,5,0.3,I
1108,0.2,2,0.25,I
1109,0.5,0.75,0,I
1110,0.5,0.75,0,I
1201,0,0,0,I
1202,0.15,2.5,0,I
1203,0.3,0.5,0,I
1204,0.1,0.5,0,I
1205,0.1,1,0,I
1206,0.2,3,0,I
1207,0.2,4.5,0.1,I
1208,0.4,2,0,I
1209,0.1,4,0,I
1210,0.1,4,0,I
1301,0,0,0,I
1302,0.1,12,0.1,I
1303,0,10,0.2,I
1304,0,9,0.05,I
1305,0.5,8,0,I
1306,0.5,8,0,I
1307,0.5,8,0,I
1308,0.5,9,0,I
1309,0.5,10,0.05,I
1310,0.3,3,0.1,I
1311,0.3,3,0,I
1401,0,0,0,I
1402,0.1,3,0,I
1403,0,8,0.1,I
1404,0.05,6,0.05,I
1405,0,4,0.15,I
1406,0,3,0,I
1407,0.3,3,0,I
1408,0.05,1.5,0.3,I
1409,0.6,0.4,0,I
1410,0.6,0.4,0,I
1501,0,0,0,I
1502,0.1,3,0,I
1503,0,4,0.05,I
1504,0,7,0.05,I
1505,0,5,0.05,I
1506,0,2.5,0,I
1507,0.1,1.5,0,I
1508,0.5,1,0,I
1509,0.5,0.1,0,I
1510,0.5,0.1,0,I
1601,0,0,0,I
1602,0,12,0,I
1603,0,10,0.05,I
1604,0,8,0.05,I
1605,0,7,0,I
1606,0.05,5,0,I
1607,0.2,2.5,0,I
1608,0.1,2.5,0,I
1609,0.2,2,0,I
1610,0.2,2,0,I
1701,0,0,0,I
1702,0.1,3,0.05,I
1703,0.05,8,0.3,I
1704,0,9,0.2,I
1705,0.05,5,0.15,I
1706,0,4,0.3,I
1707,0.1,4,0.4,I
1708,0.1,4,0,I
1801,0,0,0,I
1802,0.3,1,0.05,I
1803,0.25,1.5,0.25,I
1804,0.15,3.5,0.3,I
1805,0.1,1,0.4,I
1806,0.1,0.5,0.05,I
1807,0.1,0,0,I
1808,0.25,0,0,I
1809,0,0.2,0,I
1810,0,0.2,0,I
1901,0,0,0,I
1902,0.4,0.2,0,I
1903,0.4,1.5,0.15,I
1904,0.1,3,0.5,I
1905,0,2.5,0.2,I
1906,0.1,1.5,0.05,I
1907,0,0,0,I
1908,0.2,0,0,I
1909,0.1,0,0,I
1910,0,0.5,0,I
1911,0,2,0,I
1912,0,2,0,I
2001,0,0,0,I
2002,0.4,0.2,0,I
2003,0.4,1,0.05,I
2004,0.4,1.5,0.1,I
2005,0.1,4.5,0.4,I
2006,0.1,3.5,0.2,I
2007,0.3,2.5,0,I
2008,0.1,2,0,I
2009,0.2,2,0,I
2010,0.2,1.5,0.05,I
2011,0,2,0,I
2012,0,3.5,0,I
2013,0.1,5.5,0,I
2014,0.1,5.5,0,I
2101,0,0,0,I
2102,0.5,0.3,0,I
2103,0.1,4,0,I
2104,0.2,4,0,U
2105,0.1,3,0,U
2106,0.05,2,0,U
2107,0.1,2,0,U
2108,0.05,3,0,U
2109,0.1,4.5,0.05,U
2110,0.05,6.5,0.05,I
2111,0.5,2.5,0,I
2112,0.5,2.5,0,I
